Question,Context,Answer,input_with_kg
What specific advice did Rama give Kausalya about caring for King Dasaratha?,"Rama gave his mother a specific task to perform in his absence. He urged her to 'Let not this grief his soul distress, To kill him with the bitterness. With duteous care, in every thing, Love, comfort, cheer the aged king'.","He urged her to 'Let not this grief his soul distress, To kill him with the bitterness. With duteous care, in every thing, Love, comfort, cheer the aged king'.","Question: What specific advice did Rama give Kausalya about caring for King Dasaratha? Context: Rama gave his mother a specific task to perform in his absence. He urged her to 'Let not this grief his soul distress, To kill him with the bitterness. With duteous care, in every thing, Love, comfort, cheer the aged king'. Knowledge: Kausalya mother_of Rama | Kaushalya mother_of Rama | Killing of Tataka demonstrates Rama's duty to protect sages and uphold Dharma"
What was Kaikeyi's final declaration to Manthara in the chamber of wrath about Rama's exile and Bharata's enthronement?,"The queen committed fully to the treacherous plan. Inspired by Manthara, Kaikeyi cast her pearl necklace on the ground, rolling on the floor, and declared: ""O Kubija, either Rama shall go into exile and Bharata obtain the kingdom, or King Dasaratha will have news of my death. I shall neither put on ornaments, nor partake of delicious dishes; if Rama is installed, it shall be the end of my life"".","Inspired by Manthara, Kaikeyi cast her pearl necklace on the ground, rolling on the floor, and declared: ""O Kubija, either Rama shall go into exile and Bharata obtain the kingdom, or King Dasaratha will have news of my death. I shall neither put on ornaments, nor partake of delicious dishes; if Rama is installed, it shall be the end of my life"".","Question: What was Kaikeyi's final declaration to Manthara in the chamber of wrath about Rama's exile and Bharata's enthronement? Context: The queen committed fully to the treacherous plan. Inspired by Manthara, Kaikeyi cast her pearl necklace on the ground, rolling on the floor, and declared: ""O Kubija, either Rama shall go into exile and Bharata obtain the kingdom, or King Dasaratha will have news of my death. I shall neither put on ornaments, nor partake of delicious dishes; if Rama is installed, it shall be the end of my life"". Knowledge: Kaikeyi demands Rama’s exile | Manthara's Conspiracy leads_to Kaikeyi demanding her two boons | Manthara influences Kaikeyi"
What primary threat or source of distress did the trembling hermits describe to Rama?,"The hermits explained the cause of their constant fear. The primary threat was the constant harassment and slaughter by flesh-eating Rákshasas, who desecrated their sacrifices and killed them, making it impossible to live a life of penance.","The primary threat was the constant harassment and slaughter by flesh-eating Rákshasas, who desecrated their sacrifices and killed them, making it impossible to live a life of penance.","Question: What primary threat or source of distress did the trembling hermits describe to Rama? Context: The hermits explained the cause of their constant fear. The primary threat was the constant harassment and slaughter by flesh-eating Rákshasas, who desecrated their sacrifices and killed them, making it impossible to live a life of penance. Knowledge: Killing of Tataka demonstrates Rama's duty to protect sages and uphold Dharma | Mutilation of Shurpanakha is_a_punishment_for Her aggressive advances towards Rama and Sita | Parashurama confronts Rama"
What was the fate of the titan Prajangha?,"The young monkey prince, Angada, defeated another titan warrior. The monkey Angada struck Prajangha's head from his shoulders after a fierce duel.",The monkey Angada struck Prajangha's head from his shoulders after a fierce duel.,"Question: What was the fate of the titan Prajangha? Context: The young monkey prince, Angada, defeated another titan warrior. The monkey Angada struck Prajangha's head from his shoulders after a fierce duel. Knowledge: Hanuman kills Akshayakumara | Hanuman destroys Ashoka Vatika | Hanuman kills Ahiravana"
Who ultimately performed the act of mutilating S'u'panakha'?,"When the demoness attacked Sita, one of the brothers acted to punish her. Lakshman ultimately performed the act, on Rama's command to punish her.","Lakshman ultimately performed the act, on Rama's command to punish her.","Question: Who ultimately performed the act of mutilating S'u'panakha'? Context: When the demoness attacked Sita, one of the brothers acted to punish her. Lakshman ultimately performed the act, on Rama's command to punish her. Knowledge: Mutilation of Shurpanakha is_a_punishment_for Her aggressive advances towards Rama and Sita | Mutilation of Shurpanakha performed_by Lakshmana | Lakshmana accompanying Rama is_an_act_of Bhratru Dharma (Brother's Duty)"
How did Sita respond to Bharata's plea for Rama to return to Ayodhya?,"Sita gently supported her husband's decision. Sita expressed her sorrow at the thought of Rama leaving the forest. She acknowledged Bharata's devotion but supported Rama's decision to remain in exile, emphasizing the importance of adhering to their father's wishes.","Sita expressed her sorrow at the thought of Rama leaving the forest. She acknowledged Bharata's devotion but supported Rama's decision to remain in exile, emphasizing the importance of adhering to their father's wishes.","Question: How did Sita respond to Bharata's plea for Rama to return to Ayodhya? Context: Sita gently supported her husband's decision. Sita expressed her sorrow at the thought of Rama leaving the forest. She acknowledged Bharata's devotion but supported Rama's decision to remain in exile, emphasizing the importance of adhering to their father's wishes. Knowledge: Rama rescues Sita | Sita marries Rama | Sita's Second Exile cause Lingering rumors among the citizens of Ayodhya"
What was Márícha's first response when Rávan revealed his plan to abduct Sita?,"The old Rakshasa was terrified by Ravana's plan. Márícha was horrified. He immediately and strongly advised Rávan against the plan, warning him that it would lead to his and the entire Rákshasa race's destruction.","Márícha was horrified. He immediately and strongly advised Rávan against the plan, warning him that it would lead to his and the entire Rákshasa race's destruction.","Question: What was Márícha's first response when Rávan revealed his plan to abduct Sita? Context: The old Rakshasa was terrified by Ravana's plan. Márícha was horrified. He immediately and strongly advised Rávan against the plan, warning him that it would lead to his and the entire Rákshasa race's destruction. Knowledge: Sita's Abduction perpetrated_by Ravana | Killing of Ravana results_in The liberation of Sita | Ravana abducts Sita"
What was Lakshman's primary argument to Kausalya against Rama's exile?,"Lakshman was furious and argued that the king was wrong. Lakshman stated he 'like it ill That, subject to a woman's will, Rama his royal state should quit.' He argued the king was 'fond, changed, and weak' and there was 'No least offence I find in him'.","Lakshman stated he 'like it ill That, subject to a woman's will, Rama his royal state should quit.' He argued the king was 'fond, changed, and weak' and there was 'No least offence I find in him'.","Question: What was Lakshman's primary argument to Kausalya against Rama's exile? Context: Lakshman was furious and argued that the king was wrong. Lakshman stated he 'like it ill That, subject to a woman's will, Rama his royal state should quit.' He argued the king was 'fond, changed, and weak' and there was 'No least offence I find in him'. Knowledge: Lakshmana saves Rama | Lakshmana accompanies Rama | Lakshmana serves Rama"
What did Hanuman promise to do if he failed to find Sita in Lanka?,"Hanuman considered all possible outcomes, even failure to find Sita. He promised to either repair to the region of the Gods to find her or bring back the King of the Titans (Ravana) in chains.",He promised to either repair to the region of the Gods to find her or bring back the King of the Titans (Ravana) in chains.,"Question: What did Hanuman promise to do if he failed to find Sita in Lanka? Context: Hanuman considered all possible outcomes, even failure to find Sita. He promised to either repair to the region of the Gods to find her or bring back the King of the Titans (Ravana) in chains. Knowledge: Hanuman discovers Sita in Ashoka Vatika | Hanuman finds_Sita_in Ashoka Vatika | Hanuman meets Sita"
What did Maithili (Sita) do with the 'payasa' given to her by Indra?,"Even as a captive, Sita thought of her husband. Knowing the food came from Indra, Sita offered part of it to Rama by pouring it on the ground, saying it should be acceptable to her husband and his brother, whether they were living or had attained the celestial state.","Knowing the food came from Indra, Sita offered part of it to Rama by pouring it on the ground, saying it should be acceptable to her husband and his brother, whether they were living or had attained the celestial state.","Question: What did Maithili (Sita) do with the 'payasa' given to her by Indra? Context: Even as a captive, Sita thought of her husband. Knowing the food came from Indra, Sita offered part of it to Rama by pouring it on the ground, saying it should be acceptable to her husband and his brother, whether they were living or had attained the celestial state. Knowledge: Sita marries Rama | Rama rescues Sita | Sita wife_of Rama"
How did Sugriva test Rama's prowess before fully trusting him?,"To gain Sugriva's full confidence, Rama had to demonstrate his strength. Sugriva showed Rama the bones of Dundhubi's body, which formed a mountain-high heap. Rama kicked the heap ten yojanas away and pierced seven palmyra trees and a mountain with a single arrow.","Sugriva showed Rama the bones of Dundhubi's body, which formed a mountain-high heap. Rama kicked the heap ten yojanas away and pierced seven palmyra trees and a mountain with a single arrow.","Question: How did Sugriva test Rama's prowess before fully trusting him? Context: To gain Sugriva's full confidence, Rama had to demonstrate his strength. Sugriva showed Rama the bones of Dundhubi's body, which formed a mountain-high heap. Rama kicked the heap ten yojanas away and pierced seven palmyra trees and a mountain with a single arrow. Knowledge: Hanuman introduces_to_Rama Sugriva | Sugriva friend_of Rama | Rama friend_of Sugriva"
What was Vibhishana's counsel to Ravana regarding Rama and Sita?,"Amidst the calls for war, one voice urged peace and righteousness. Vibhishana advised that Rama was on his guard, eager for victory, and invincible. He urged Ravana to return Sita (Vaidehi) to Rama to avoid great peril, stating there was no advantage in continuing the quarrel.","Vibhishana advised that Rama was on his guard, eager for victory, and invincible. He urged Ravana to return Sita (Vaidehi) to Rama to avoid great peril, stating there was no advantage in continuing the quarrel.","Question: What was Vibhishana's counsel to Ravana regarding Rama and Sita? Context: Amidst the calls for war, one voice urged peace and righteousness. Vibhishana advised that Rama was on his guard, eager for victory, and invincible. He urged Ravana to return Sita (Vaidehi) to Rama to avoid great peril, stating there was no advantage in continuing the quarrel. Knowledge: Rama defeated Ravana | Killing of Ravana results_in The liberation of Sita | Vibhishana's defection to Rama is_a_choice_of Dharma over Adharma"
Describe the miraculous feast and lavish entertainment provided by Sage Bharadvaja for Bharata's entire army at Prayaga.,"The sage used his divine powers to provide a grand feast. Using yogic power and sacred mantras, Bharadvaja invoked Vishvakarma, celestial beings, deities like Yama, Varuna, Kuvera, and Indra, and all rivers. He caused streams of milk thickened with rice to flow, and erected beautiful white mansions and palaces.","Using yogic power and sacred mantras, Bharadvaja invoked Vishvakarma, celestial beings, deities like Yama, Varuna, Kuvera, and Indra, and all rivers. He caused streams of milk thickened with rice to flow, and erected beautiful white mansions and palaces.","Question: Describe the miraculous feast and lavish entertainment provided by Sage Bharadvaja for Bharata's entire army at Prayaga. Context: The sage used his divine powers to provide a grand feast. Using yogic power and sacred mantras, Bharadvaja invoked Vishvakarma, celestial beings, deities like Yama, Varuna, Kuvera, and Indra, and all rivers. He caused streams of milk thickened with rice to flow, and erected beautiful white mansions and palaces. Knowledge: Sage Bharadvaja hosts_Rama_during_exile Prayaga | Bharata exemplifies Bhratru Dharma | Building of Rama Setu symbolizes The power of collective effort and devotion (Bhakti)"
How did Rama classify the different types of servants based on their performance of tasks?,"Rama explained the hierarchy of service to his allies. Rama classified servants into three types: a 'superior man' who zealously acquits himself of a difficult task; an 'ordinary man' who does no more than what his sovereign exacts; and the 'least of men' who, though able, does not carry out the king's command.","Rama classified servants into three types: a 'superior man' who zealously acquits himself of a difficult task; an 'ordinary man' who does no more than what his sovereign exacts; and the 'least of men' who, though able, does not carry out the king's command.","Question: How did Rama classify the different types of servants based on their performance of tasks? Context: Rama explained the hierarchy of service to his allies. Rama classified servants into three types: a 'superior man' who zealously acquits himself of a difficult task; an 'ordinary man' who does no more than what his sovereign exacts; and the 'least of men' who, though able, does not carry out the king's command. Knowledge: Rama exemplifies Raja Dharma | Rama's Exile is_an_example_of Satya (Upholding his father's promise) | Rama worships Vishnu"
What four specific medicinal herbs did Sushena ask Hanuman to bring?,"The physician prescribed specific herbs with magical healing properties. Sushena asked Hanuman to bring four herbs from the southern peak of Mahodaya Mountain: Mritasamjivani (Reviver of the Dead), Vishalyakarani (Healer of wounds inflicted by darts), Suvarnakarani (That which heals the skin), and Sandhani (That which produces a salve for wounds).","Sushena asked Hanuman to bring four herbs from the southern peak of Mahodaya Mountain: Mritasamjivani (Reviver of the Dead), Vishalyakarani (Healer of wounds inflicted by darts), Suvarnakarani (That which heals the skin), and Sandhani (That which produces a salve for wounds).","Question: What four specific medicinal herbs did Sushena ask Hanuman to bring? Context: The physician prescribed specific herbs with magical healing properties. Sushena asked Hanuman to bring four herbs from the southern peak of Mahodaya Mountain: Mritasamjivani (Reviver of the Dead), Vishalyakarani (Healer of wounds inflicted by darts), Suvarnakarani (That which heals the skin), and Sandhani (That which produces a salve for wounds). Knowledge: Hanuman brings Sanjeevani herb | Hanuman fetches_herb Sanjeevani | Sanjeevani is_a Medicinal Herb"
What painful questions did Bharata ask his mother about his father's death and his brothers' whereabouts?,"The prince sought more information about the tragedy. He asked what malady the king suffered, why he was carried away in his absence, and where his sagacious brother Rama was, stating that Rama had become as a father to him.","He asked what malady the king suffered, why he was carried away in his absence, and where his sagacious brother Rama was, stating that Rama had become as a father to him.","Question: What painful questions did Bharata ask his mother about his father's death and his brothers' whereabouts? Context: The prince sought more information about the tragedy. He asked what malady the king suffered, why he was carried away in his absence, and where his sagacious brother Rama was, stating that Rama had become as a father to him. Knowledge: Bharata brother_of Rama | Rama brother_of Bharata | Rama's Exile is_an_example_of Satya (Upholding his father's promise)"
What did Hanuman proclaim in a loud voice to the Kinkaras?,"Confronted by the enemy soldiers, Hanuman boldly declared his identity and purpose. He proclaimed victory to Rama, Lakshmana and Sugriva, and identified himself as Hanuman, servant of Rama and son of Maruta.","He proclaimed victory to Rama, Lakshmana and Sugriva, and identified himself as Hanuman, servant of Rama and son of Maruta.","Question: What did Hanuman proclaim in a loud voice to the Kinkaras? Context: Confronted by the enemy soldiers, Hanuman boldly declared his identity and purpose. He proclaimed victory to Rama, Lakshmana and Sugriva, and identified himself as Hanuman, servant of Rama and son of Maruta. Knowledge: Hanuman writes Hanuman Ramayana | Hanuman messenger_of Rama | Hanuman son_of Vayu"
"After Ravana left, what did the titan women do?","With the king gone, the female guards renewed their torment of Sita. They bore down on Sita and addressed her in harsh tones, urging her to accept an alliance with Ravana.","They bore down on Sita and addressed her in harsh tones, urging her to accept an alliance with Ravana.","Question: After Ravana left, what did the titan women do? Context: With the king gone, the female guards renewed their torment of Sita. They bore down on Sita and addressed her in harsh tones, urging her to accept an alliance with Ravana. Knowledge: Killing of Ravana results_in The liberation of Sita | Sita's Abduction perpetrated_by Ravana | Ravana abducts Sita"
How did Sage Bharadvaja initially receive Bharata and his companions at Prayaga?,"The prince was greeted respectfully by the great sage. Bharadvaja, rising from his seat, commanded his disciples to bring the arghya. He advanced to greet Vasishtha, recognized Bharata, presented them with arghya, and refreshed them with fruits, inquiring about their welfare and Ayodhya.","Bharadvaja, rising from his seat, commanded his disciples to bring the arghya. He advanced to greet Vasishtha, recognized Bharata, presented them with arghya, and refreshed them with fruits, inquiring about their welfare and Ayodhya.","Question: How did Sage Bharadvaja initially receive Bharata and his companions at Prayaga? Context: The prince was greeted respectfully by the great sage. Bharadvaja, rising from his seat, commanded his disciples to bring the arghya. He advanced to greet Vasishtha, recognized Bharata, presented them with arghya, and refreshed them with fruits, inquiring about their welfare and Ayodhya. Knowledge: Sage Bharadvaja hosts_Rama_during_exile Prayaga | Bharata exemplifies Bhratru Dharma | First Boon is Bharata's coronation"
Who were King Dasharatha's three wives?,"King Dasharatha of Ayodhya had three queens: Kausalya, the mother of Rama; Kaikeyi, the mother of Bharata; and Sumitra, the mother of Lakshmana and Shatrughna.","Kausalya, the mother of Rama; Kaikeyi, the mother of Bharata; and Sumitra","Question: Who were King Dasharatha's three wives? Context: King Dasharatha of Ayodhya had three queens: Kausalya, the mother of Rama; Kaikeyi, the mother of Bharata; and Sumitra, the mother of Lakshmana and Shatrughna. Knowledge: Dasharatha king_of Ayodhya | Dasharatha father_of Bharata | Dasharatha father_of Lakshmana"
"Who were Shuka and Sarana, and what was their second mission?","Ravana sent two more spies to gather intelligence on the enemy army. Shuka and Sarana were titan counsellors sent by Ravana to disguise themselves as monkeys and spy on the simian army to determine its numbers, leaders, strength, and plans.","Shuka and Sarana were titan counsellors sent by Ravana to disguise themselves as monkeys and spy on the simian army to determine its numbers, leaders, strength, and plans.","Question: Who were Shuka and Sarana, and what was their second mission? Context: Ravana sent two more spies to gather intelligence on the enemy army. Shuka and Sarana were titan counsellors sent by Ravana to disguise themselves as monkeys and spy on the simian army to determine its numbers, leaders, strength, and plans. Knowledge: Shurpanakha is_sister_of Ravana | Shurpanakha is_sister_of Ravana | Ravana seeks_revenge_for Shurpanakha's mutilation"
"Who was considered the most outstanding among Dasaratha's four sons, and how was his character likened to a deity?","Among the four princes, one was preeminent. Rama was considered the best and noblest of the four sons, and his goodness was likened to 'the God whom all adore'.","Rama was considered the best and noblest of the four sons, and his goodness was likened to 'the God whom all adore'.","Question: Who was considered the most outstanding among Dasaratha's four sons, and how was his character likened to a deity? Context: Among the four princes, one was preeminent. Rama was considered the best and noblest of the four sons, and his goodness was likened to 'the God whom all adore'. Knowledge: Rama is_son_of Dasharatha | Rama son_of Dasharatha | Dasharatha father_of Rama"
"Who was Mandodari, and what was the essence of her lament for Ravana?","The demon king's chief queen mourned his death with a deep understanding of its cause. Mandodari was Ravana's foremost consort. She lamented his fall to a mere mortal, acknowledging that he was slain by the Supreme Soul, Vishnu, in human form. She blamed his passion for Sita and his refusal to heed good counsel for his destruction and that of his entire race.","Mandodari was Ravana's foremost consort. She lamented his fall to a mere mortal, acknowledging that he was slain by the Supreme Soul, Vishnu, in human form. She blamed his passion for Sita and his refusal to heed good counsel for his destruction and that of his entire race.","Question: Who was Mandodari, and what was the essence of her lament for Ravana? Context: The demon king's chief queen mourned his death with a deep understanding of its cause. Mandodari was Ravana's foremost consort. She lamented his fall to a mere mortal, acknowledging that he was slain by the Supreme Soul, Vishnu, in human form. She blamed his passion for Sita and his refusal to heed good counsel for his destruction and that of his entire race. Knowledge: Mandodari is_wife_of Ravana | Mandodari wife_of Ravana | Mandodari queen_of Lanka"
How did Dasaratha describe the month chosen for Rama's consecration?,The king chose an auspicious and beautiful time for the ceremony. It was 'pure and lovely Chaitra now When flowers are sweet on every bough'.,It was 'pure and lovely Chaitra now When flowers are sweet on every bough'.,Question: How did Dasaratha describe the month chosen for Rama's consecration? Context: The king chose an auspicious and beautiful time for the ceremony. It was 'pure and lovely Chaitra now When flowers are sweet on every bough'. Knowledge: Rama worships Shiva | Rama born_in Ayodhya | Rama symbolizes Dharma
What principle did Kaikeyi invoke to persuade Rama to agree to her demands?,"To manipulate Rama, the queen appealed to his sense of righteousness. She emphasized, 'From faith, as well the righteous know, Our virtue and our merits flow,' and insisted Rama 'swear that his promise shall not fail'.","She emphasized, 'From faith, as well the righteous know, Our virtue and our merits flow,' and insisted Rama 'swear that his promise shall not fail'.","Question: What principle did Kaikeyi invoke to persuade Rama to agree to her demands? Context: To manipulate Rama, the queen appealed to his sense of righteousness. She emphasized, 'From faith, as well the righteous know, Our virtue and our merits flow,' and insisted Rama 'swear that his promise shall not fail'. Knowledge: Kaikeyi demands Rama’s exile | Kaikeyi's Two Boons results_in Rama's Exile | Kaikeyi demands Two boons"
What did Hanuman observe from afar as he approached the northern shore?,"As his long flight neared its end, Hanuman saw his destination. He observed the lofty Mountain Mahendra, like a great cloud.","He observed the lofty Mountain Mahendra, like a great cloud.","Question: What did Hanuman observe from afar as he approached the northern shore? Context: As his long flight neared its end, Hanuman saw his destination. He observed the lofty Mountain Mahendra, like a great cloud. Knowledge: Mahendra Mountains launch_point_for Hanuman's leap to Lanka | Rama meets Hanuman | Hanuman leaps_across Lankini (demoness guarding Lanka)"
What principle did Bharata invoke to prevent Shatrughna from killing Manthara?,"Bharata intervened to prevent his brother from committing a sin. Bharata intervened, reminding Shatrughna that ""women are not to be slain by any living being"". He stated that if women were subject to retribution and if Rama would not forsake him as a matricide, he would have slain her long since.","Bharata intervened, reminding Shatrughna that ""women are not to be slain by any living being"". He stated that if women were subject to retribution and if Rama would not forsake him as a matricide, he would have slain her long since.","Question: What principle did Bharata invoke to prevent Shatrughna from killing Manthara? Context: Bharata intervened to prevent his brother from committing a sin. Bharata intervened, reminding Shatrughna that ""women are not to be slain by any living being"". He stated that if women were subject to retribution and if Rama would not forsake him as a matricide, he would have slain her long since. Knowledge: Shatrughna kills Lavana | Mandavi marries Bharata | Manthara's Conspiracy motive Jealousy and fear"
How did the queens and Prince Bharata perform the final water rites for the deceased king?,"The royal family completed the funeral with water oblations. The queens, carried in palanquins, approached the funeral pyre weeping, and then circumambulated the blazing body. Afterwards, they approached the bank of the Sarayu and, with Prince Bharata, the counsellors and ministers, offered libations of water.","The queens, carried in palanquins, approached the funeral pyre weeping, and then circumambulated the blazing body. Afterwards, they approached the bank of the Sarayu and, with Prince Bharata, the counsellors and ministers, offered libations of water.","Question: How did the queens and Prince Bharata perform the final water rites for the deceased king? Context: The royal family completed the funeral with water oblations. The queens, carried in palanquins, approached the funeral pyre weeping, and then circumambulated the blazing body. Afterwards, they approached the bank of the Sarayu and, with Prince Bharata, the counsellors and ministers, offered libations of water. Knowledge: Bharata devotee_of Rama | Killing of Tataka performed_by Rama | Bharata rules_as Regent of Ayodhya"
Describe Khara's death and its immediate consequences for the Dandak forest.,"The death of the demon lord brought an immediate change to the forest. Khara was utterly consumed by the power of Rama's arrow, falling dead to the ground. His death marked the complete annihilation of the Rákshasa presence in Janasthana, bringing peace and security to the Dandak forest and its sages.","Khara was utterly consumed by the power of Rama's arrow, falling dead to the ground. His death marked the complete annihilation of the Rákshasa presence in Janasthana, bringing peace and security to the Dandak forest and its sages.","Question: Describe Khara's death and its immediate consequences for the Dandak forest. Context: The death of the demon lord brought an immediate change to the forest. Khara was utterly consumed by the power of Rama's arrow, falling dead to the ground. His death marked the complete annihilation of the Rákshasa presence in Janasthana, bringing peace and security to the Dandak forest and its sages. Knowledge: Rama kills Khara | Dandaka Forest location_of Rama's Exile | Dandaka Forest inhabited_by Rakshasas (demons)"
"According to Jambavan, what is the role of the head of an army?","The wise old bear explained the importance of protecting a leader. Jambavan stated that the head of the army is, as it were, the wife, who should constantly be protected. He also said one should take care of the root of a thing.","Jambavan stated that the head of the army is, as it were, the wife, who should constantly be protected. He also said one should take care of the root of a thing.","Question: According to Jambavan, what is the role of the head of an army? Context: The wise old bear explained the importance of protecting a leader. Jambavan stated that the head of the army is, as it were, the wife, who should constantly be protected. He also said one should take care of the root of a thing. Knowledge: Jambavan is_king_of Bears | Jambavan accompanies Angada | Prahasta is_commander_of Ravana's army"
