Question,Context,Answer
What specific advice did Rama give Kausalya about caring for King Dasaratha?,"Rama gave his mother a specific task to perform in his absence. He urged her to 'Let not this grief his soul distress, To kill him with the bitterness. With duteous care, in every thing, Love, comfort, cheer the aged king'.","He urged her to 'Let not this grief his soul distress, To kill him with the bitterness. With duteous care, in every thing, Love, comfort, cheer the aged king'."
What was Kaikeyi's final declaration to Manthara in the chamber of wrath about Rama's exile and Bharata's enthronement?,"The queen committed fully to the treacherous plan. Inspired by Manthara, Kaikeyi cast her pearl necklace on the ground, rolling on the floor, and declared: ""O Kubija, either Rama shall go into exile and Bharata obtain the kingdom, or King Dasaratha will have news of my death. I shall neither put on ornaments, nor partake of delicious dishes; if Rama is installed, it shall be the end of my life"".","Inspired by Manthara, Kaikeyi cast her pearl necklace on the ground, rolling on the floor, and declared: ""O Kubija, either Rama shall go into exile and Bharata obtain the kingdom, or King Dasaratha will have news of my death. I shall neither put on ornaments, nor partake of delicious dishes; if Rama is installed, it shall be the end of my life""."
What primary threat or source of distress did the trembling hermits describe to Rama?,"The hermits explained the cause of their constant fear. The primary threat was the constant harassment and slaughter by flesh-eating Rákshasas, who desecrated their sacrifices and killed them, making it impossible to live a life of penance.","The primary threat was the constant harassment and slaughter by flesh-eating Rákshasas, who desecrated their sacrifices and killed them, making it impossible to live a life of penance."
What was the fate of the titan Prajangha?,"The young monkey prince, Angada, defeated another titan warrior. The monkey Angada struck Prajangha's head from his shoulders after a fierce duel.",The monkey Angada struck Prajangha's head from his shoulders after a fierce duel.
Who ultimately performed the act of mutilating S'u'panakha'?,"When the demoness attacked Sita, one of the brothers acted to punish her. Lakshman ultimately performed the act, on Rama's command to punish her.","Lakshman ultimately performed the act, on Rama's command to punish her."
How did Sita respond to Bharata's plea for Rama to return to Ayodhya?,"Sita gently supported her husband's decision. Sita expressed her sorrow at the thought of Rama leaving the forest. She acknowledged Bharata's devotion but supported Rama's decision to remain in exile, emphasizing the importance of adhering to their father's wishes.","Sita expressed her sorrow at the thought of Rama leaving the forest. She acknowledged Bharata's devotion but supported Rama's decision to remain in exile, emphasizing the importance of adhering to their father's wishes."
What was Márícha's first response when Rávan revealed his plan to abduct Sita?,"The old Rakshasa was terrified by Ravana's plan. Márícha was horrified. He immediately and strongly advised Rávan against the plan, warning him that it would lead to his and the entire Rákshasa race's destruction.","Márícha was horrified. He immediately and strongly advised Rávan against the plan, warning him that it would lead to his and the entire Rákshasa race's destruction."
What was Lakshman's primary argument to Kausalya against Rama's exile?,"Lakshman was furious and argued that the king was wrong. Lakshman stated he 'like it ill That, subject to a woman's will, Rama his royal state should quit.' He argued the king was 'fond, changed, and weak' and there was 'No least offence I find in him'.","Lakshman stated he 'like it ill That, subject to a woman's will, Rama his royal state should quit.' He argued the king was 'fond, changed, and weak' and there was 'No least offence I find in him'."
What did Hanuman promise to do if he failed to find Sita in Lanka?,"Hanuman considered all possible outcomes, even failure to find Sita. He promised to either repair to the region of the Gods to find her or bring back the King of the Titans (Ravana) in chains.",He promised to either repair to the region of the Gods to find her or bring back the King of the Titans (Ravana) in chains.
What did Maithili (Sita) do with the 'payasa' given to her by Indra?,"Even as a captive, Sita thought of her husband. Knowing the food came from Indra, Sita offered part of it to Rama by pouring it on the ground, saying it should be acceptable to her husband and his brother, whether they were living or had attained the celestial state.","Knowing the food came from Indra, Sita offered part of it to Rama by pouring it on the ground, saying it should be acceptable to her husband and his brother, whether they were living or had attained the celestial state."
How did Sugriva test Rama's prowess before fully trusting him?,"To gain Sugriva's full confidence, Rama had to demonstrate his strength. Sugriva showed Rama the bones of Dundhubi's body, which formed a mountain-high heap. Rama kicked the heap ten yojanas away and pierced seven palmyra trees and a mountain with a single arrow.","Sugriva showed Rama the bones of Dundhubi's body, which formed a mountain-high heap. Rama kicked the heap ten yojanas away and pierced seven palmyra trees and a mountain with a single arrow."
What was Vibhishana's counsel to Ravana regarding Rama and Sita?,"Amidst the calls for war, one voice urged peace and righteousness. Vibhishana advised that Rama was on his guard, eager for victory, and invincible. He urged Ravana to return Sita (Vaidehi) to Rama to avoid great peril, stating there was no advantage in continuing the quarrel.","Vibhishana advised that Rama was on his guard, eager for victory, and invincible. He urged Ravana to return Sita (Vaidehi) to Rama to avoid great peril, stating there was no advantage in continuing the quarrel."
Describe the miraculous feast and lavish entertainment provided by Sage Bharadvaja for Bharata's entire army at Prayaga.,"The sage used his divine powers to provide a grand feast. Using yogic power and sacred mantras, Bharadvaja invoked Vishvakarma, celestial beings, deities like Yama, Varuna, Kuvera, and Indra, and all rivers. He caused streams of milk thickened with rice to flow, and erected beautiful white mansions and palaces.","Using yogic power and sacred mantras, Bharadvaja invoked Vishvakarma, celestial beings, deities like Yama, Varuna, Kuvera, and Indra, and all rivers. He caused streams of milk thickened with rice to flow, and erected beautiful white mansions and palaces."
How did Rama classify the different types of servants based on their performance of tasks?,"Rama explained the hierarchy of service to his allies. Rama classified servants into three types: a 'superior man' who zealously acquits himself of a difficult task; an 'ordinary man' who does no more than what his sovereign exacts; and the 'least of men' who, though able, does not carry out the king's command.","Rama classified servants into three types: a 'superior man' who zealously acquits himself of a difficult task; an 'ordinary man' who does no more than what his sovereign exacts; and the 'least of men' who, though able, does not carry out the king's command."
What four specific medicinal herbs did Sushena ask Hanuman to bring?,"The physician prescribed specific herbs with magical healing properties. Sushena asked Hanuman to bring four herbs from the southern peak of Mahodaya Mountain: Mritasamjivani (Reviver of the Dead), Vishalyakarani (Healer of wounds inflicted by darts), Suvarnakarani (That which heals the skin), and Sandhani (That which produces a salve for wounds).","Sushena asked Hanuman to bring four herbs from the southern peak of Mahodaya Mountain: Mritasamjivani (Reviver of the Dead), Vishalyakarani (Healer of wounds inflicted by darts), Suvarnakarani (That which heals the skin), and Sandhani (That which produces a salve for wounds)."
What painful questions did Bharata ask his mother about his father's death and his brothers' whereabouts?,"The prince sought more information about the tragedy. He asked what malady the king suffered, why he was carried away in his absence, and where his sagacious brother Rama was, stating that Rama had become as a father to him.","He asked what malady the king suffered, why he was carried away in his absence, and where his sagacious brother Rama was, stating that Rama had become as a father to him."
What did Hanuman proclaim in a loud voice to the Kinkaras?,"Confronted by the enemy soldiers, Hanuman boldly declared his identity and purpose. He proclaimed victory to Rama, Lakshmana and Sugriva, and identified himself as Hanuman, servant of Rama and son of Maruta.","He proclaimed victory to Rama, Lakshmana and Sugriva, and identified himself as Hanuman, servant of Rama and son of Maruta."
"After Ravana left, what did the titan women do?","With the king gone, the female guards renewed their torment of Sita. They bore down on Sita and addressed her in harsh tones, urging her to accept an alliance with Ravana.","They bore down on Sita and addressed her in harsh tones, urging her to accept an alliance with Ravana."
How did Sage Bharadvaja initially receive Bharata and his companions at Prayaga?,"The prince was greeted respectfully by the great sage. Bharadvaja, rising from his seat, commanded his disciples to bring the arghya. He advanced to greet Vasishtha, recognized Bharata, presented them with arghya, and refreshed them with fruits, inquiring about their welfare and Ayodhya.","Bharadvaja, rising from his seat, commanded his disciples to bring the arghya. He advanced to greet Vasishtha, recognized Bharata, presented them with arghya, and refreshed them with fruits, inquiring about their welfare and Ayodhya."
Who were King Dasharatha's three wives?,"King Dasharatha of Ayodhya had three queens: Kausalya, the mother of Rama; Kaikeyi, the mother of Bharata; and Sumitra, the mother of Lakshmana and Shatrughna.","Kausalya, the mother of Rama; Kaikeyi, the mother of Bharata; and Sumitra"
"Who were Shuka and Sarana, and what was their second mission?","Ravana sent two more spies to gather intelligence on the enemy army. Shuka and Sarana were titan counsellors sent by Ravana to disguise themselves as monkeys and spy on the simian army to determine its numbers, leaders, strength, and plans.","Shuka and Sarana were titan counsellors sent by Ravana to disguise themselves as monkeys and spy on the simian army to determine its numbers, leaders, strength, and plans."
"Who was considered the most outstanding among Dasaratha's four sons, and how was his character likened to a deity?","Among the four princes, one was preeminent. Rama was considered the best and noblest of the four sons, and his goodness was likened to 'the God whom all adore'.","Rama was considered the best and noblest of the four sons, and his goodness was likened to 'the God whom all adore'."
"Who was Mandodari, and what was the essence of her lament for Ravana?","The demon king's chief queen mourned his death with a deep understanding of its cause. Mandodari was Ravana's foremost consort. She lamented his fall to a mere mortal, acknowledging that he was slain by the Supreme Soul, Vishnu, in human form. She blamed his passion for Sita and his refusal to heed good counsel for his destruction and that of his entire race.","Mandodari was Ravana's foremost consort. She lamented his fall to a mere mortal, acknowledging that he was slain by the Supreme Soul, Vishnu, in human form. She blamed his passion for Sita and his refusal to heed good counsel for his destruction and that of his entire race."
How did Dasaratha describe the month chosen for Rama's consecration?,The king chose an auspicious and beautiful time for the ceremony. It was 'pure and lovely Chaitra now When flowers are sweet on every bough'.,It was 'pure and lovely Chaitra now When flowers are sweet on every bough'.
What principle did Kaikeyi invoke to persuade Rama to agree to her demands?,"To manipulate Rama, the queen appealed to his sense of righteousness. She emphasized, 'From faith, as well the righteous know, Our virtue and our merits flow,' and insisted Rama 'swear that his promise shall not fail'.","She emphasized, 'From faith, as well the righteous know, Our virtue and our merits flow,' and insisted Rama 'swear that his promise shall not fail'."
What did Hanuman observe from afar as he approached the northern shore?,"As his long flight neared its end, Hanuman saw his destination. He observed the lofty Mountain Mahendra, like a great cloud.","He observed the lofty Mountain Mahendra, like a great cloud."
What principle did Bharata invoke to prevent Shatrughna from killing Manthara?,"Bharata intervened to prevent his brother from committing a sin. Bharata intervened, reminding Shatrughna that ""women are not to be slain by any living being"". He stated that if women were subject to retribution and if Rama would not forsake him as a matricide, he would have slain her long since.","Bharata intervened, reminding Shatrughna that ""women are not to be slain by any living being"". He stated that if women were subject to retribution and if Rama would not forsake him as a matricide, he would have slain her long since."
How did the queens and Prince Bharata perform the final water rites for the deceased king?,"The royal family completed the funeral with water oblations. The queens, carried in palanquins, approached the funeral pyre weeping, and then circumambulated the blazing body. Afterwards, they approached the bank of the Sarayu and, with Prince Bharata, the counsellors and ministers, offered libations of water.","The queens, carried in palanquins, approached the funeral pyre weeping, and then circumambulated the blazing body. Afterwards, they approached the bank of the Sarayu and, with Prince Bharata, the counsellors and ministers, offered libations of water."
Describe Khara's death and its immediate consequences for the Dandak forest.,"The death of the demon lord brought an immediate change to the forest. Khara was utterly consumed by the power of Rama's arrow, falling dead to the ground. His death marked the complete annihilation of the Rákshasa presence in Janasthana, bringing peace and security to the Dandak forest and its sages.","Khara was utterly consumed by the power of Rama's arrow, falling dead to the ground. His death marked the complete annihilation of the Rákshasa presence in Janasthana, bringing peace and security to the Dandak forest and its sages."
"According to Jambavan, what is the role of the head of an army?","The wise old bear explained the importance of protecting a leader. Jambavan stated that the head of the army is, as it were, the wife, who should constantly be protected. He also said one should take care of the root of a thing.","Jambavan stated that the head of the army is, as it were, the wife, who should constantly be protected. He also said one should take care of the root of a thing."
"Where did Rama, Lakshman, and Sita first encounter Jatáyus?","The meeting with the vulture king happened as they traveled to their new home. They first encountered Jatáyus on their way to Panchavati, after leaving the hermitage of Agastya.","They first encountered Jatáyus on their way to Panchavati, after leaving the hermitage of Agastya."
What was Dasaratha's emotional accusation regarding Kaikeyi's inner state that prompted her demands?,"The king believed his wife must be possessed to act so cruelly. He questioned, 'Have goblins seized thy soul, O dame, Who thus canst speak and feel no shame? Thy mind with sin is sicklied o'er, From thy first youth ne'er seen before'.","He questioned, 'Have goblins seized thy soul, O dame, Who thus canst speak and feel no shame? Thy mind with sin is sicklied o'er, From thy first youth ne'er seen before'."
"What specific qualities made Rama a just and benevolent ruler, according to his people?","The people saw Rama as the ideal protector and king. Rama protected those who sought his protection, restrained evil-doers, and constantly sought the welfare of his subjects. He was renowned in the three worlds, in forbearance resembling the earth, in wisdom equal to Brihaspati, and in courage like Indra. He destroyed those meriting death but showed mercy to the innocent.","Rama protected those who sought his protection, restrained evil-doers, and constantly sought the welfare of his subjects. He was renowned in the three worlds, in forbearance resembling the earth, in wisdom equal to Brihaspati, and in courage like Indra. He destroyed those meriting death but showed mercy to the innocent."
Who did Ravana order to interrogate Hanuman?,"The king delegated the task of questioning the captive. He ordered his chief counsellor, Prahasta, to question him.","He ordered his chief counsellor, Prahasta, to question him."
Who is Lakshmana's twin brother?,"Lakshmana and his twin brother Shatrughna were born to Queen Sumitra, the third wife of King Dasharatha.",Shatrughna
What did Angada condemn Sugriva for?,"In his despair, Angada listed his uncle's perceived transgressions. Angada condemned Sugriva for uniting with Tara, his elder brother's wife, while her son was still living. He also condemned him for trapping Vali in the cave and for forgetting the favors he received from Rama.","Angada condemned Sugriva for uniting with Tara, his elder brother's wife, while her son was still living. He also condemned him for trapping Vali in the cave and for forgetting the favors he received from Rama."
"Describe the circumstances of King Dasaratha's accidental killing of the ascetic, including the location and time of year.","The tragic incident happened during a nighttime hunt. It happened during the rainy season when refreshing clouds covered the sky. King Dasaratha, taking his bow and arrows in his chariot, went to the bank of the river Sarayu to hunt at night, where buffaloes, elephants, and tigers came to drink.","It happened during the rainy season when refreshing clouds covered the sky. King Dasaratha, taking his bow and arrows in his chariot, went to the bank of the river Sarayu to hunt at night, where buffaloes, elephants, and tigers came to drink."
Which three examples did Kaikeyi provide to reinforce the importance of a king's truthfulness?,"To support her argument, the queen cited historical precedents of keeping one's word. King Saivya (who gave his flesh for a hawk and dove), King Alarka (who gave his eyes for a Brahmin's promise), and the Lord of Rivers (Ocean) (who keeps his bounds).","King Saivya (who gave his flesh for a hawk and dove), King Alarka (who gave his eyes for a Brahmin's promise), and the Lord of Rivers (Ocean) (who keeps his bounds)."
What reproaches or accusations did Rama direct towards Lakshman in his overwhelming grief?,"In his moment of weakness, Rama turned his grief on his loyal brother. In his agony, Rama unfairly blamed Lakshman for leaving Sita alone, questioning why he had disobeyed his orders, not understanding the circumstances that had forced Lakshman's hand.","In his agony, Rama unfairly blamed Lakshman for leaving Sita alone, questioning why he had disobeyed his orders, not understanding the circumstances that had forced Lakshman's hand."
Which forest was Rama's first stop in exile?,"Upon leaving Ayodhya, Rama, Sita, and Lakshmana first stayed in the tranquil forest of Chitrakoot for some time.",Chitrakoot
